# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
tawa-unpa 󱥩󱦖󱥯
tawa-uta 󱥩󱦖󱥰
tawa-utala 󱥩󱦖󱥱
tawa-walo 󱥩󱦖󱥲
tawa-wan 󱥩󱦖󱥳
tawa-waso 󱥩󱦖󱥴
tawa-wawa 󱥩󱦖󱥵
tawa-weka 󱥩󱦖󱥶
tawa-wile 󱥩󱦖󱥷
tawa-kijetesantakalu 󱥩󱦖󱦀
tawa-kipisi 󱥩󱦖󱥻
tawa-ku 󱥩󱦖󱦈
tawa-leko 󱥩󱦖󱥼
tawa-misikeke 󱥩󱦖󱦇
tawa-n 󱥩󱦖󱦆
tawa-namako 󱥩󱦖󱥸
tawa-soko 󱥩󱦖󱦁
tawa-epiku 󱥩󱦖󱦃
tawa-jasima 󱥩󱦖󱥿
tawa-lanpan 󱥩󱦖󱦅
tawa-linluwi 󱥩󱦖󱦤
tawa-majuna 󱥩󱦖󱦢
tawa-meso 󱥩󱦖󱦂
tawa-oko 󱥩󱦖󱥺
tawa-su 󱥩󱦖󱦦
telo 󱥪
telo-a 󱥪‍󱤀
telo-akesi 󱥪‍󱤁
telo-ala 󱥪‍󱤂
telo-alasa 󱥪‍󱤃
telo-ale 󱥪‍󱤄
telo-anpa 󱥪‍󱤅
telo-ante 󱥪‍󱤆
telo-anu 󱥪‍󱤇
telo-awen 󱥪‍󱤈
telo-e 󱥪‍󱤉
telo-en 󱥪‍󱤊
telo-esun 󱥪‍󱤋
telo-ijo 󱥪‍󱤌
telo-ike 󱥪‍󱤍
telo-ilo 󱥪‍󱤎
telo-insa 󱥪‍󱤏
telo-jaki 󱥪‍󱤐
telo-jan 󱥪‍󱤑
telo-jelo 󱥪‍󱤒
telo-jo 󱥪‍󱤓
telo-kala 󱥪‍󱤔
telo-kalama 󱥪‍󱤕
telo-kama 󱥪‍󱤖
telo-kasi 󱥪‍󱤗
telo-ken 󱥪‍󱤘
telo-kepeken 󱥪‍󱤙
telo-kili 󱥪‍󱤚
telo-kin 󱥪‍󱥹
telo-kiwen 󱥪‍󱤛
telo-ko 󱥪‍󱤜
telo-kon 󱥪‍󱤝
telo-kule 󱥪‍󱤞
telo-kulupu 󱥪‍󱤟
telo-kute 󱥪‍󱤠
telo-la 󱥪‍󱤡
telo-lape 󱥪‍󱤢
telo-laso 󱥪‍󱤣
telo-lawa 󱥪‍󱤤
telo-len 󱥪‍󱤥
telo-lete 󱥪‍󱤦
telo-li 󱥪‍󱤧
telo-lili 󱥪‍󱤨
telo-linja 󱥪‍󱤩
telo-lipu 󱥪‍󱤪
telo-loje 󱥪‍󱤫
telo-lon 󱥪‍󱤬
telo-luka 󱥪‍󱤭
telo-lukin 󱥪‍󱤮
telo-lupa 󱥪‍󱤯
telo-ma 󱥪‍󱤰
telo-mama 󱥪‍󱤱
telo-mani 󱥪‍󱤲
telo-meli 󱥪‍󱤳
telo-mi 󱥪‍󱤴
telo-mije 󱥪‍󱤵
telo-moku 󱥪‍󱤶
telo-moli 󱥪‍󱤷
telo-monsi 󱥪‍󱤸
telo-monsuta 󱥪‍󱥽
telo-mu 󱥪‍󱤹
telo-mun 󱥪‍󱤺
telo-musi 󱥪‍󱤻
telo-mute 󱥪‍󱤼
telo-nanpa 󱥪‍󱤽
telo-nasa 󱥪‍󱤾
telo-nasin 󱥪‍󱤿
telo-nena 󱥪‍󱥀
telo-ni 󱥪‍󱥁
telo-nimi 󱥪‍󱥂
telo-noka 󱥪‍󱥃
telo-o 󱥪‍󱥄
telo-olin 󱥪‍󱥅
telo-ona 󱥪‍󱥆
telo-open 󱥪‍󱥇
telo-pakala 󱥪‍󱥈
telo-pali 󱥪‍󱥉
telo-palisa 󱥪‍󱥊
telo-pan 󱥪‍󱥋
telo-pana 󱥪‍󱥌
telo-pi 󱥪‍󱥍
telo-pilin 󱥪‍󱥎
telo-pimeja 󱥪‍󱥏
telo-pini 󱥪‍󱥐
telo-pipi 󱥪‍󱥑
telo-poka 󱥪‍󱥒
telo-poki 󱥪‍󱥓
telo-pona 󱥪‍󱥔
telo-pu 󱥪‍󱥕
telo-sama 󱥪‍󱥖
telo-seli 󱥪‍󱥗
telo-selo 󱥪‍󱥘
telo-seme 󱥪‍󱥙
telo-sewi 󱥪‍󱥚
telo-sijelo 󱥪‍󱥛
telo-sike 󱥪‍󱥜
telo-sin 󱥪‍󱥝
telo-sina 󱥪‍󱥞
telo-sinpin 󱥪‍󱥟
telo-sitelen 󱥪‍󱥠
telo-sona 󱥪‍󱥡
telo-soweli 󱥪‍󱥢
telo-suli 󱥪‍󱥣
telo-suno 󱥪‍󱥤
telo-supa 󱥪‍󱥥
telo-suwi 󱥪‍󱥦
telo-tan 󱥪‍󱥧
telo-taso 󱥪‍󱥨
telo-tawa 󱥪‍󱥩
telo-telo 󱥪‍󱥪
telo-tenpo 󱥪‍󱥫
telo-toki 󱥪‍󱥬
telo-tomo 󱥪‍󱥭
telo-tonsi 󱥪‍󱥾
telo-tu 󱥪‍󱥮
telo-unpa 󱥪‍󱥯
telo-uta 󱥪‍󱥰
telo-utala 󱥪‍󱥱
telo-walo 󱥪‍󱥲
telo-wan 󱥪‍󱥳
telo-waso 󱥪‍󱥴
telo-wawa 󱥪‍󱥵
telo-weka 󱥪‍󱥶
telo-wile 󱥪‍󱥷
telo-kijetesantakalu 󱥪‍󱦀
telo-kipisi 󱥪‍󱥻
telo-ku 󱥪‍󱦈
telo-leko 󱥪‍󱥼
telo-misikeke 󱥪‍󱦇
telo-n 󱥪‍󱦆
telo-namako 󱥪‍󱥸
telo-soko 󱥪‍󱦁
telo-epiku 󱥪‍󱦃
telo-jasima 󱥪‍󱥿
telo-lanpan 󱥪‍󱦅
telo-linluwi 󱥪‍󱦤
telo-majuna 󱥪‍󱦢
telo-meso 󱥪‍󱦂
telo-oko 󱥪‍󱥺
telo-su 󱥪‍󱦦
telo-a 󱥪󱦕󱤀
telo-akesi 󱥪󱦕󱤁
telo-ala 󱥪󱦕󱤂
telo-alasa 󱥪󱦕󱤃
telo-ale 󱥪󱦕󱤄
telo-anpa 󱥪󱦕󱤅
telo-ante 󱥪󱦕󱤆
telo-anu 󱥪󱦕󱤇
telo-awen 󱥪󱦕󱤈
telo-e 󱥪󱦕󱤉
telo-en 󱥪󱦕󱤊
telo-esun 󱥪󱦕󱤋
telo-ijo 󱥪󱦕󱤌
telo-ike 󱥪󱦕󱤍
telo-ilo 󱥪󱦕󱤎
telo-insa 󱥪󱦕󱤏
telo-jaki 󱥪󱦕󱤐
telo-jan 󱥪󱦕󱤑
telo-jelo 󱥪󱦕󱤒
telo-jo 󱥪󱦕󱤓
telo-kala 󱥪󱦕󱤔
telo-kalama 󱥪󱦕󱤕
telo-kama 󱥪󱦕󱤖
telo-kasi 󱥪󱦕󱤗
telo-ken 󱥪󱦕󱤘
telo-kepeken 󱥪󱦕󱤙
telo-kili 󱥪󱦕󱤚
telo-kin 󱥪󱦕󱥹
telo-kiwen 󱥪󱦕󱤛
telo-ko 󱥪󱦕󱤜
telo-kon 󱥪󱦕󱤝
telo-kule 󱥪󱦕󱤞
telo-kulupu 󱥪󱦕󱤟
telo-kute 󱥪󱦕󱤠
telo-la 󱥪󱦕󱤡
telo-lape 󱥪󱦕󱤢
telo-laso 󱥪󱦕󱤣
telo-lawa 󱥪󱦕󱤤
telo-len 󱥪󱦕󱤥
telo-lete 󱥪󱦕󱤦
telo-li 󱥪󱦕󱤧
telo-lili 󱥪󱦕󱤨
telo-linja 󱥪󱦕󱤩
telo-lipu 󱥪󱦕󱤪
telo-loje 󱥪󱦕󱤫
telo-lon 󱥪󱦕󱤬
telo-luka 󱥪󱦕󱤭
telo-lukin 󱥪󱦕󱤮
telo-lupa 󱥪󱦕󱤯
telo-ma 󱥪󱦕󱤰
telo-mama 󱥪󱦕󱤱
telo-mani 󱥪󱦕󱤲
telo-meli 󱥪󱦕󱤳
telo-mi 󱥪󱦕󱤴
telo-mije 󱥪󱦕󱤵
telo-moku 󱥪󱦕󱤶
telo-moli 󱥪󱦕󱤷
telo-monsi 󱥪󱦕󱤸
telo-monsuta 󱥪󱦕󱥽
telo-mu 󱥪󱦕󱤹
telo-mun 󱥪󱦕󱤺
telo-musi 󱥪󱦕󱤻
telo-mute 󱥪󱦕󱤼
telo-nanpa 󱥪󱦕󱤽
telo-nasa 󱥪󱦕󱤾
telo-nasin 󱥪󱦕󱤿
telo-nena 󱥪󱦕󱥀
telo-ni 󱥪󱦕󱥁
telo-nimi 󱥪󱦕󱥂
telo-noka 󱥪󱦕󱥃
telo-o 󱥪󱦕󱥄
telo-olin 󱥪󱦕󱥅
telo-ona 󱥪󱦕󱥆
telo-open 󱥪󱦕󱥇
telo-pakala 󱥪󱦕󱥈
telo-pali 󱥪󱦕󱥉
telo-palisa 󱥪󱦕󱥊
telo-pan 󱥪󱦕󱥋
telo-pana 󱥪󱦕󱥌
telo-pi 󱥪󱦕󱥍
telo-pilin 󱥪󱦕󱥎
telo-pimeja 󱥪󱦕󱥏
telo-pini 󱥪󱦕󱥐
telo-pipi 󱥪󱦕󱥑
telo-poka 󱥪󱦕󱥒
telo-poki 󱥪󱦕󱥓
telo-pona 󱥪󱦕󱥔
telo-pu 󱥪󱦕󱥕
telo-sama 󱥪󱦕󱥖
telo-seli 󱥪󱦕󱥗
telo-selo 󱥪󱦕󱥘
telo-seme 󱥪󱦕󱥙
telo-sewi 󱥪󱦕󱥚
telo-sijelo 󱥪󱦕󱥛
telo-sike 󱥪󱦕󱥜
telo-sin 󱥪󱦕󱥝
telo-sina 󱥪󱦕󱥞
telo-sinpin 󱥪󱦕󱥟
telo-sitelen 󱥪󱦕󱥠
telo-sona 󱥪󱦕󱥡
telo-soweli 󱥪󱦕󱥢
telo-suli 󱥪󱦕󱥣
telo-suno 󱥪󱦕󱥤
telo-supa 󱥪󱦕󱥥
telo-suwi 󱥪󱦕󱥦
telo-tan 󱥪󱦕󱥧
telo-taso 󱥪󱦕󱥨
telo-tawa 󱥪󱦕󱥩
telo-telo 󱥪󱦕󱥪
telo-tenpo 󱥪󱦕󱥫
telo-toki 󱥪󱦕󱥬
telo-tomo 󱥪󱦕󱥭
telo-tonsi 󱥪󱦕󱥾
telo-tu 󱥪󱦕󱥮
telo-unpa 󱥪󱦕󱥯
telo-uta 󱥪󱦕󱥰
telo-utala 󱥪󱦕󱥱
telo-walo 󱥪󱦕󱥲
telo-wan 󱥪󱦕󱥳
telo-waso 󱥪󱦕󱥴
telo-wawa 󱥪󱦕󱥵
telo-weka 󱥪󱦕󱥶
telo-wile 󱥪󱦕󱥷
telo-kijetesantakalu 󱥪󱦕󱦀
telo-kipisi 󱥪󱦕󱥻
telo-ku 󱥪󱦕󱦈
telo-leko 󱥪󱦕󱥼
telo-misikeke 󱥪󱦕󱦇
telo-n 󱥪󱦕󱦆
telo-namako 󱥪󱦕󱥸
telo-soko 󱥪󱦕󱦁
telo-epiku 󱥪󱦕󱦃
telo-jasima 󱥪󱦕󱥿
telo-lanpan 󱥪󱦕󱦅
telo-linluwi 󱥪󱦕󱦤
telo-majuna 󱥪󱦕󱦢
telo-meso 󱥪󱦕󱦂
telo-oko 󱥪󱦕󱥺
telo-su 󱥪󱦕󱦦
telo-a 󱥪󱦖󱤀
telo-akesi 󱥪󱦖󱤁
telo-ala 󱥪󱦖󱤂
telo-alasa 󱥪󱦖󱤃
telo-ale 󱥪󱦖󱤄
telo-anpa 󱥪󱦖󱤅
telo-ante 󱥪󱦖󱤆
telo-anu 󱥪󱦖󱤇
telo-awen 󱥪󱦖󱤈
telo-e 󱥪󱦖󱤉
telo-en 󱥪󱦖󱤊
telo-esun 󱥪󱦖󱤋
telo-ijo 󱥪󱦖󱤌
telo-ike 󱥪󱦖󱤍
telo-ilo 󱥪󱦖󱤎
telo-insa 󱥪󱦖󱤏
telo-jaki 󱥪󱦖󱤐
telo-jan 󱥪󱦖󱤑
telo-jelo 󱥪󱦖󱤒
telo-jo 󱥪󱦖󱤓
telo-kala 󱥪󱦖󱤔
telo-kalama 󱥪󱦖󱤕
telo-kama 󱥪󱦖󱤖
telo-kasi 󱥪󱦖󱤗
telo-ken 󱥪󱦖󱤘
telo-kepeken 󱥪󱦖󱤙
telo-kili 󱥪󱦖󱤚
telo-kin 󱥪󱦖󱥹
telo-kiwen 󱥪󱦖󱤛
telo-ko 󱥪󱦖󱤜
telo-kon 󱥪󱦖󱤝
telo-kule 󱥪󱦖󱤞
telo-kulupu 󱥪󱦖󱤟
telo-kute 󱥪󱦖󱤠
telo-la 󱥪󱦖󱤡
telo-lape 󱥪󱦖󱤢
telo-laso 󱥪󱦖󱤣
telo-lawa 󱥪󱦖󱤤
telo-len 󱥪󱦖󱤥
telo-lete 󱥪󱦖󱤦
telo-li 󱥪󱦖󱤧
telo-lili 󱥪󱦖󱤨
telo-linja 󱥪󱦖󱤩
telo-lipu 󱥪󱦖󱤪
telo-loje 󱥪󱦖󱤫
telo-lon 󱥪󱦖󱤬
telo-luka 󱥪󱦖󱤭
telo-lukin 󱥪󱦖󱤮
telo-lupa 󱥪󱦖󱤯
telo-ma 󱥪󱦖󱤰
telo-mama 󱥪󱦖󱤱
telo-mani 󱥪󱦖󱤲
telo-meli 󱥪󱦖󱤳
telo-mi 󱥪󱦖󱤴
telo-mije 󱥪󱦖󱤵
telo-moku 󱥪󱦖󱤶
telo-moli 󱥪󱦖󱤷
telo-monsi 󱥪󱦖󱤸
telo-monsuta 󱥪󱦖󱥽
telo-mu 󱥪󱦖󱤹
telo-mun 󱥪󱦖󱤺
telo-musi 󱥪󱦖󱤻
telo-mute 󱥪󱦖󱤼
telo-nanpa 󱥪󱦖󱤽
telo-nasa 󱥪󱦖󱤾
telo-nasin 󱥪󱦖󱤿
telo-nena 󱥪󱦖󱥀
telo-ni 󱥪󱦖󱥁
telo-nimi 󱥪󱦖󱥂
telo-noka 󱥪󱦖󱥃
telo-o 󱥪󱦖󱥄
telo-olin 󱥪󱦖󱥅
telo-ona 󱥪󱦖󱥆
telo-open 󱥪󱦖󱥇
telo-pakala 󱥪󱦖󱥈
telo-pali 󱥪󱦖󱥉
telo-palisa 󱥪󱦖󱥊
telo-pan 󱥪󱦖󱥋
telo-pana 󱥪󱦖󱥌
telo-pi 󱥪󱦖󱥍
telo-pilin 󱥪󱦖󱥎
telo-pimeja 󱥪󱦖󱥏
telo-pini 󱥪󱦖󱥐
telo-pipi 󱥪󱦖󱥑
telo-poka 󱥪󱦖󱥒
telo-poki 󱥪󱦖󱥓
telo-pona 󱥪󱦖󱥔
telo-pu 󱥪󱦖󱥕
telo-sama 󱥪󱦖󱥖
telo-seli 󱥪󱦖󱥗
telo-selo 󱥪󱦖󱥘
telo-seme 󱥪󱦖󱥙
telo-sewi 󱥪󱦖󱥚
telo-sijelo 󱥪󱦖󱥛
telo-sike 󱥪󱦖󱥜
telo-sin 󱥪󱦖󱥝
telo-sina 󱥪󱦖󱥞
telo-sinpin 󱥪󱦖󱥟
telo-sitelen 󱥪󱦖󱥠
telo-sona 󱥪󱦖󱥡
telo-soweli 󱥪󱦖󱥢
telo-suli 󱥪󱦖󱥣
telo-suno 󱥪󱦖󱥤
telo-supa 󱥪󱦖󱥥
telo-suwi 󱥪󱦖󱥦
telo-tan 󱥪󱦖󱥧
telo-taso 󱥪󱦖󱥨
telo-tawa 󱥪󱦖󱥩
telo-telo 󱥪󱦖󱥪
telo-tenpo 󱥪󱦖󱥫
telo-toki 󱥪󱦖󱥬
telo-tomo 󱥪󱦖󱥭
telo-tonsi 󱥪󱦖󱥾
telo-tu 󱥪󱦖󱥮
telo-unpa 󱥪󱦖󱥯
telo-uta 󱥪󱦖󱥰
telo-utala 󱥪󱦖󱥱
telo-walo 󱥪󱦖󱥲
telo-wan 󱥪󱦖󱥳
telo-waso 󱥪󱦖󱥴
telo-wawa 󱥪󱦖󱥵
telo-weka 󱥪󱦖󱥶
telo-wile 󱥪󱦖󱥷
telo-kijetesantakalu 󱥪󱦖󱦀
telo-kipisi 󱥪󱦖󱥻
telo-ku 󱥪󱦖󱦈
telo-leko 󱥪󱦖󱥼
telo-misikeke 󱥪󱦖󱦇
telo-n 󱥪󱦖󱦆
telo-namako 󱥪󱦖󱥸
telo-soko 󱥪󱦖󱦁
telo-epiku 󱥪󱦖󱦃
telo-jasima 󱥪󱦖󱥿
telo-lanpan 󱥪󱦖󱦅
telo-linluwi 󱥪󱦖󱦤
telo-majuna 󱥪󱦖󱦢
telo-meso 󱥪󱦖󱦂
telo-oko 󱥪󱦖󱥺
telo-su 󱥪󱦖󱦦
tenpo 󱥫
tenpo-a 󱥫‍󱤀
tenpo-akesi 󱥫‍󱤁
tenpo-ala 󱥫‍󱤂
tenpo-alasa 󱥫‍󱤃
tenpo-ale 󱥫‍󱤄
tenpo-anpa 󱥫‍󱤅
tenpo-ante 󱥫‍󱤆
tenpo-anu 󱥫‍󱤇
tenpo-awen 󱥫‍󱤈
tenpo-e 󱥫‍󱤉
tenpo-en 󱥫‍󱤊
tenpo-esun 󱥫‍󱤋
tenpo-ijo 󱥫‍󱤌
tenpo-ike 󱥫‍󱤍
tenpo-ilo 󱥫‍󱤎
tenpo-insa 󱥫‍󱤏
tenpo-jaki 󱥫‍󱤐
tenpo-jan 󱥫‍󱤑
tenpo-jelo 󱥫‍󱤒
tenpo-jo 󱥫‍󱤓
tenpo-kala 󱥫‍󱤔
tenpo-kalama 󱥫‍󱤕
tenpo-kama 󱥫‍󱤖
tenpo-kasi 󱥫‍󱤗
tenpo-ken 󱥫‍󱤘
tenpo-kepeken 󱥫‍󱤙
tenpo-kili 󱥫‍󱤚
tenpo-kin 󱥫‍󱥹
tenpo-kiwen 󱥫‍󱤛
tenpo-ko 󱥫‍󱤜
tenpo-kon 󱥫‍󱤝
tenpo-kule 󱥫‍󱤞
tenpo-kulupu 󱥫‍󱤟
tenpo-kute 󱥫‍󱤠
tenpo-la 󱥫‍󱤡
tenpo-lape 󱥫‍󱤢
tenpo-laso 󱥫‍󱤣
tenpo-lawa 󱥫‍󱤤
tenpo-len 󱥫‍󱤥
tenpo-lete 󱥫‍󱤦
tenpo-li 󱥫‍󱤧
tenpo-lili 󱥫‍󱤨
tenpo-linja 󱥫‍󱤩
tenpo-lipu 󱥫‍󱤪
tenpo-loje 󱥫‍󱤫
tenpo-lon 󱥫‍󱤬
tenpo-luka 󱥫‍󱤭
tenpo-lukin 󱥫‍󱤮
tenpo-lupa 󱥫‍󱤯
tenpo-ma 󱥫‍󱤰
tenpo-mama 󱥫‍󱤱
tenpo-mani 󱥫‍󱤲
tenpo-meli 󱥫‍󱤳
tenpo-mi 󱥫‍󱤴
tenpo-mije 󱥫‍󱤵
tenpo-moku 󱥫‍󱤶
tenpo-moli 󱥫‍󱤷
tenpo-monsi 󱥫‍󱤸
tenpo-monsuta 󱥫‍󱥽
tenpo-mu 󱥫‍󱤹
tenpo-mun 󱥫‍󱤺
tenpo-musi 󱥫‍󱤻
tenpo-mute 󱥫‍󱤼
tenpo-nanpa 󱥫‍󱤽
tenpo-nasa 󱥫‍󱤾
tenpo-nasin 󱥫‍󱤿
tenpo-nena 󱥫‍󱥀
tenpo-ni 󱥫‍󱥁
tenpo-nimi 󱥫‍󱥂
tenpo-noka 󱥫‍󱥃
tenpo-o 󱥫‍󱥄
tenpo-olin 󱥫‍󱥅
tenpo-ona 󱥫‍󱥆
tenpo-open 󱥫‍󱥇
tenpo-pakala 󱥫‍󱥈
tenpo-pali 󱥫‍󱥉
tenpo-palisa 󱥫‍󱥊
tenpo-pan 󱥫‍󱥋
tenpo-pana 󱥫‍󱥌
tenpo-pi 󱥫‍󱥍
tenpo-pilin 󱥫‍󱥎
tenpo-pimeja 󱥫‍󱥏
tenpo-pini 󱥫‍󱥐
tenpo-pipi 󱥫‍󱥑
tenpo-poka 󱥫‍󱥒
tenpo-poki 󱥫‍󱥓
tenpo-pona 󱥫‍󱥔
tenpo-pu 󱥫‍󱥕
tenpo-sama 󱥫‍󱥖
tenpo-seli 󱥫‍󱥗
tenpo-selo 󱥫‍󱥘
tenpo-seme 󱥫‍󱥙
tenpo-sewi 󱥫‍󱥚
tenpo-sijelo 󱥫‍󱥛
tenpo-sike 󱥫‍󱥜
tenpo-sin 󱥫‍󱥝
tenpo-sina 󱥫‍󱥞
tenpo-sinpin 󱥫‍󱥟
tenpo-sitelen 󱥫‍󱥠
tenpo-sona 󱥫‍󱥡
tenpo-soweli 󱥫‍󱥢
tenpo-suli 󱥫‍󱥣
tenpo-suno 󱥫‍󱥤
tenpo-supa 󱥫‍󱥥
tenpo-suwi 󱥫‍󱥦
tenpo-tan 󱥫‍󱥧
tenpo-taso 󱥫‍󱥨
tenpo-tawa 󱥫‍󱥩
tenpo-telo 󱥫‍󱥪
tenpo-tenpo 󱥫‍󱥫
tenpo-toki 󱥫‍󱥬
tenpo-tomo 󱥫‍󱥭
tenpo-tonsi 󱥫‍󱥾
tenpo-tu 󱥫‍󱥮
tenpo-unpa 󱥫‍󱥯
tenpo-uta 󱥫‍󱥰
tenpo-utala 󱥫‍󱥱
tenpo-walo 󱥫‍󱥲
tenpo-wan 󱥫‍󱥳
tenpo-waso 󱥫‍󱥴
tenpo-wawa 󱥫‍󱥵
tenpo-weka 󱥫‍󱥶
tenpo-wile 󱥫‍󱥷
tenpo-kijetesantakalu 󱥫‍󱦀
tenpo-kipisi 󱥫‍󱥻
tenpo-ku 󱥫‍󱦈
tenpo-leko 󱥫‍󱥼
tenpo-misikeke 󱥫‍󱦇
tenpo-n 󱥫‍󱦆
tenpo-namako 󱥫‍󱥸
tenpo-soko 󱥫‍󱦁
tenpo-epiku 󱥫‍󱦃
tenpo-jasima 󱥫‍󱥿
tenpo-lanpan 󱥫‍󱦅
tenpo-linluwi 󱥫‍󱦤
tenpo-majuna 󱥫‍󱦢
tenpo-meso 󱥫‍󱦂
tenpo-oko 󱥫‍󱥺
tenpo-su 󱥫‍󱦦
tenpo-a 󱥫󱦕󱤀
tenpo-akesi 󱥫󱦕󱤁
tenpo-ala 󱥫󱦕󱤂
tenpo-alasa 󱥫󱦕󱤃
tenpo-ale 󱥫󱦕󱤄
tenpo-anpa 󱥫󱦕󱤅
tenpo-ante 󱥫󱦕󱤆
tenpo-anu 󱥫󱦕󱤇
tenpo-awen 󱥫󱦕󱤈
tenpo-e 󱥫󱦕󱤉
tenpo-en 󱥫󱦕󱤊
tenpo-esun 󱥫󱦕󱤋
tenpo-ijo 󱥫󱦕󱤌
tenpo-ike 󱥫󱦕󱤍
tenpo-ilo 󱥫󱦕󱤎
tenpo-insa 󱥫󱦕󱤏
tenpo-jaki 󱥫󱦕󱤐
tenpo-jan 󱥫󱦕󱤑
tenpo-jelo 󱥫󱦕󱤒
tenpo-jo 󱥫󱦕󱤓
tenpo-kala 󱥫󱦕󱤔
tenpo-kalama 󱥫󱦕󱤕
tenpo-kama 󱥫󱦕󱤖
tenpo-kasi 󱥫󱦕󱤗
tenpo-ken 󱥫󱦕󱤘
tenpo-kepeken 󱥫󱦕󱤙
tenpo-kili 󱥫󱦕󱤚
tenpo-kin 󱥫󱦕󱥹
tenpo-kiwen 󱥫󱦕󱤛
tenpo-ko 󱥫󱦕󱤜
tenpo-kon 󱥫󱦕󱤝
tenpo-kule 󱥫󱦕󱤞
tenpo-kulupu 󱥫󱦕󱤟
tenpo-kute 󱥫󱦕󱤠
tenpo-la 󱥫󱦕󱤡
tenpo-lape 󱥫󱦕󱤢
tenpo-laso 󱥫󱦕󱤣
tenpo-lawa 󱥫󱦕󱤤
tenpo-len 󱥫󱦕󱤥
tenpo-lete 󱥫󱦕󱤦
tenpo-li 󱥫󱦕󱤧
tenpo-lili 󱥫󱦕󱤨
tenpo-linja 󱥫󱦕󱤩
tenpo-lipu 󱥫󱦕󱤪
tenpo-loje 󱥫󱦕󱤫
tenpo-lon 󱥫󱦕󱤬
tenpo-luka 󱥫󱦕󱤭
tenpo-lukin 󱥫󱦕󱤮
tenpo-lupa 󱥫󱦕󱤯
tenpo-ma 󱥫󱦕󱤰
tenpo-mama 󱥫󱦕󱤱
tenpo-mani 󱥫󱦕󱤲
tenpo-meli 󱥫󱦕󱤳
tenpo-mi 󱥫󱦕󱤴
tenpo-mije 󱥫󱦕󱤵
tenpo-moku 󱥫󱦕󱤶
tenpo-moli 󱥫󱦕󱤷
tenpo-monsi 󱥫󱦕󱤸
tenpo-monsuta 󱥫󱦕󱥽
tenpo-mu 󱥫󱦕󱤹
tenpo-mun 󱥫󱦕󱤺
tenpo-musi 󱥫󱦕󱤻
tenpo-mute 󱥫󱦕󱤼
tenpo-nanpa 󱥫󱦕󱤽
tenpo-nasa 󱥫󱦕󱤾
tenpo-nasin 󱥫󱦕󱤿
tenpo-nena 󱥫󱦕󱥀
tenpo-ni 󱥫󱦕󱥁
tenpo-nimi 󱥫󱦕󱥂
tenpo-noka 󱥫󱦕󱥃
tenpo-o 󱥫󱦕󱥄
tenpo-olin 󱥫󱦕󱥅
tenpo-ona 󱥫󱦕󱥆
tenpo-open 󱥫󱦕󱥇
tenpo-pakala 󱥫󱦕󱥈
tenpo-pali 󱥫󱦕󱥉
tenpo-palisa 󱥫󱦕󱥊
tenpo-pan 󱥫󱦕󱥋
tenpo-pana 󱥫󱦕󱥌
tenpo-pi 󱥫󱦕󱥍
tenpo-pilin 󱥫󱦕󱥎
tenpo-pimeja 󱥫󱦕󱥏
tenpo-pini 󱥫󱦕󱥐
tenpo-pipi 󱥫󱦕󱥑
tenpo-poka 󱥫󱦕󱥒
tenpo-poki 󱥫󱦕󱥓
tenpo-pona 󱥫󱦕󱥔
tenpo-pu 󱥫󱦕󱥕
tenpo-sama 󱥫󱦕󱥖
tenpo-seli 󱥫󱦕󱥗
tenpo-selo 󱥫󱦕󱥘
tenpo-seme 󱥫󱦕󱥙
tenpo-sewi 󱥫󱦕󱥚
tenpo-sijelo 󱥫󱦕󱥛
tenpo-sike 󱥫󱦕󱥜
tenpo-sin 󱥫󱦕󱥝
tenpo-sina 󱥫󱦕󱥞
tenpo-sinpin 󱥫󱦕󱥟
tenpo-sitelen 󱥫󱦕󱥠
tenpo-sona 󱥫󱦕󱥡
tenpo-soweli 󱥫󱦕󱥢
tenpo-suli 󱥫󱦕󱥣
tenpo-suno 󱥫󱦕󱥤
tenpo-supa 󱥫󱦕󱥥
tenpo-suwi 󱥫󱦕󱥦
tenpo-tan 󱥫󱦕󱥧
tenpo-taso 󱥫󱦕󱥨
tenpo-tawa 󱥫󱦕󱥩
tenpo-telo 󱥫󱦕󱥪
tenpo-tenpo 󱥫󱦕󱥫
tenpo-toki 󱥫󱦕󱥬
tenpo-tomo 󱥫󱦕󱥭
tenpo-tonsi 󱥫󱦕󱥾
tenpo-tu 󱥫󱦕󱥮
tenpo-unpa 󱥫󱦕󱥯
tenpo-uta 󱥫󱦕󱥰
tenpo-utala 󱥫󱦕󱥱
tenpo-walo 󱥫󱦕󱥲
tenpo-wan 󱥫󱦕󱥳
tenpo-waso 󱥫󱦕󱥴
tenpo-wawa 󱥫󱦕󱥵
tenpo-weka 󱥫󱦕󱥶
tenpo-wile 󱥫󱦕󱥷
tenpo-kijetesantakalu 󱥫󱦕󱦀
tenpo-kipisi 󱥫󱦕󱥻
tenpo-ku 󱥫󱦕󱦈
